block_batch_size,batch_concurrency,time
40,1,211
39,2,234
38,2,236
37,2,207
36,2,195
35,2,205
34,2,194
33,2,196
32,2,201
31,2,185
30,2,194
29,2,186
28,2,193
27,2,183
26,2,193
25,2,197
24,2,274
23,2,187
22,2,183
21,2,188
20,2,172
19,3,222
18,3,216
17,3,208
16,3,199
15,3,375
14,3,180
13,4,262
12,4,186
11,4,205
10,4,185
9,5,341
8,5,278
7,6,289
6,7,242
5,8,246
4,10,378
3,14,245
2,20,273
1,40,362
4,10,378
20,2,172
