tx_batch,tx_concurrency,time
310,1,414.05
309,2,573.075
308,2,508.975
307,2,584.8
306,2,553.425
305,2,496.325
304,2,521.475
303,2,599.425
302,2,503.475
301,2,485.025
300,2,574.675
299,2,488.175
298,2,470.45
297,2,478.225
296,2,473.9
295,2,472.125
294,2,466.5
293,2,468.225
292,2,498.4
291,2,477.725
290,2,427.275
289,2,433.525
288,2,435.55
287,2,443.275
286,2,433.9
285,2,531.25
284,2,431.925
283,2,456.5
282,2,424.25
281,2,428.65
280,2,475.15
279,2,423.3
278,2,433.775
277,2,417.55
276,2,462.275
275,2,504.625
274,2,402.525
273,2,405.2
272,2,418.325
271,2,411.425
270,2,424.1
269,2,414.15
268,2,412.225
267,2,459.125
266,2,423.15
265,2,408.325
264,2,407.125
263,2,423.325
262,2,393.8
261,2,417.975
260,2,451.575
259,2,407.575
258,2,406.675
257,2,401.7
256,2,397.275
255,2,396.225
254,2,414.3
253,2,436.55
252,2,395.425
251,2,418.2
250,2,387.875
249,2,385.475
248,2,410.95
247,2,384.875
246,2,447.425
245,2,390.05
244,2,378.925
243,2,393.7
242,2,390.925
241,2,405.9
240,2,405.425
239,2,400.375
238,2,381.425
237,2,396.05
236,2,381.1
235,2,375.725
234,2,379.45
233,2,374.8
232,2,392.475
231,2,389.2
230,2,390.375
229,2,377.825
228,2,397.525
227,2,394.525
226,2,404.075
225,2,378.025
224,2,377.3
223,2,372.875
222,2,392.125
221,2,375.65
220,2,386.85
219,2,388.775
218,2,378.5
217,2,388.2
216,2,373.375
215,2,437.475
214,2,371.475
213,2,380.15
212,2,376.925
211,2,382.875
210,2,376.775
209,2,372.8
208,2,400.15
207,2,371
206,2,416.9
205,2,368.325
204,2,381.025
203,2,377.7
202,2,370.05
201,2,402.025
200,2,392.25
199,2,378.6
198,2,385.25
197,2,446.775
196,2,386.875
195,2,389.3
194,2,383.825
193,2,385.25
192,2,373.475
191,2,397.75
190,2,370.375
189,2,371.4
188,2,383.925
187,2,383.525
186,2,374.9
185,2,373.175
184,2,386.225
183,2,367.475
182,2,374.8
181,2,375.775
180,2,382.05
179,2,376.8
178,2,383.4
177,2,386.975
176,2,365.05
175,2,359.525
174,2,382.375
173,2,362
172,2,383.875
171,2,435.775
170,2,360.075
169,2,358.775
168,2,355.625
167,2,385.1
166,2,354.625
165,2,452.625
164,2,423.025
163,2,352.95
162,2,346.75
161,2,359.6
160,2,371.175
159,2,358.95
158,2,365.975
157,2,354.5
156,2,365.15
155,2,359.775
154,3,355.15
153,3,359.85
152,3,345.775
151,3,408.875
150,3,355.975
149,3,355.875
148,3,357.05
147,3,368.55
146,3,370.05
145,3,354.8
144,3,362.85
143,3,359.65
142,3,351.7
141,3,356.725
140,3,348.4
139,3,358.575
138,3,362.25
137,3,367.725
136,3,349.25
135,3,345.825
134,3,445.55
133,3,333.15
132,3,334.7
131,3,335.225
130,3,338.45
129,3,351
128,3,347.175
127,3,346.35
126,3,348.975
125,3,348.675
124,3,351.025
123,3,363.55
122,3,356.625
121,3,337.725
120,3,339.2
119,3,346.4
118,3,338.725
117,3,430.95
116,3,336.4
115,3,326.9
114,3,339.2
113,3,332.95
112,3,392.775
111,3,333
110,3,343.55
109,3,348.175
108,3,346.6
107,3,344.65
106,3,335.05
105,3,349.475
104,3,347.475
103,4,372.975
102,4,323.7
101,4,355.125
100,4,314.5
99,4,385.4
98,4,319.4
97,4,306.9
96,4,302.9
95,4,312.1
94,4,294.95
93,4,277.575
92,4,299.7
91,4,295.425
90,4,281.825
89,4,279.125
88,4,338.25
87,4,277.2
86,4,285.825
85,4,397.65
84,4,280.175
83,4,276.3
82,4,283.025
81,4,290.6
80,4,276.5
79,4,302.875
78,4,292.55
77,5,277.425
76,5,285.025
75,5,271.025
74,5,402.8
73,5,283.975
72,5,273.375
71,5,305.225
70,5,279.95
69,5,266.6
68,5,271.575
67,5,282.225
66,5,261.2
65,5,272.675
64,5,286.45
63,5,280.475
62,5,276.925
61,6,321.075
60,6,267.375
59,6,270.225
58,6,330.05
57,6,270.35
56,6,283.1
55,6,283.9
54,6,270.825
53,6,292.2
52,6,273.55
51,7,274.025
50,7,263.925
49,7,285.325
48,7,272.4
47,7,265.15
46,7,259.375
45,7,270.7
44,8,283.25
43,8,281.375
42,8,281.05
41,8,3329.075
40,8,648.8
39,8,274.05
38,9,300.175
37,9,1176.525
36,9,324.675
35,9,486.1
34,10,284.45
33,10,1518.25
32,10,302.55
31,10,342.15
30,11,935.625
29,11,689.925
28,12,334.075
27,12,282.05
26,12,324.625
25,13,350.5
24,13,300.35
23,14,2311.025
22,15,328.2
21,15,1963.875
20,16,267.95
19,17,1232.425
18,18,385.05
17,19,359.475
16,20,477.925
15,21,1247.175
14,23,554.95
13,24,966
12,26,1190.625
11,29,1193.5
10,31,1071.8
9,35,1828.125
8,39,1078.95
7,45,1664.825
6,52,920.575
5,62,2962.4
4,78,3472.05
3,104,3838.625
2,155,4645.325
1,310,10687.5
1,310,10687.5
46,7,259.375
