tx_batch,tx_concurrency,time
14,1,319.675
13,2,327.15
12,2,317
11,2,326.775
10,2,336.7
9,2,307.675
8,2,308.025
7,2,308.675
6,3,321.375
5,3,307
4,4,314
3,5,322.05
2,7,320.875
1,14,328.8
10,2,336.7
5,3,307
