tx_batch,tx_concurrency,time
124,1,521.7
123,2,455
122,2,460.45
121,2,395.775
120,2,452.575
119,2,408.925
118,2,492.475
117,2,418.7
116,2,403.65
115,2,474.725
114,2,395.45
113,2,469.375
112,2,391.95
111,2,408.725
110,2,444.7
109,2,420.15
108,2,475.025
107,2,376.575
106,2,406.425
105,2,390.05
104,2,457.4
103,2,382.6
102,2,468.15
101,2,414.125
100,2,432.45
99,2,496.975
98,2,487.725
97,2,434.95
96,2,1275.075
95,2,994.225
94,2,1019.675
93,2,1035.9
92,2,1004.325
91,2,994.175
90,2,992.7
89,2,1001.7
88,2,1000.425
87,2,985.8
86,2,947.85
85,2,939.85
84,2,938.125
83,2,717.6
82,2,429.925
81,2,706.725
80,2,378.05
79,2,517
78,2,670.975
77,2,526.3
76,2,432.2
75,2,477.35
74,2,479.975
73,2,460.475
72,2,473.45
71,2,518.9
70,2,490.725
69,2,450.425
68,2,445.6
67,2,508.425
66,2,414.375
65,2,458.8
64,2,474.6
63,2,413.125
62,2,436.55
61,3,481.275
60,3,461.45
59,3,504.275
58,3,499.7
57,3,672.025
56,3,632.35
55,3,431.7
54,3,526.175
53,3,509.825
52,3,499.275
51,3,524.175
50,3,497.1
49,3,511.75
48,3,485.45
47,3,522.1
46,3,502.775
45,3,461.225
44,3,508.45
43,3,505.85
42,3,515.675
41,4,492.925
40,4,548.275
39,4,425.25
38,4,505.675
37,4,504.75
36,4,574.675
35,4,529.7
34,4,539.375
33,4,526.8
32,4,536.3
31,4,480.775
30,5,543.975
29,5,495.95
28,5,530.075
27,5,486.275
26,5,477.575
25,5,457.8
24,6,471.15
23,6,469.5
22,6,496.075
21,6,493
20,7,474.55
19,7,490.5
18,7,496.2
17,8,496.35
16,8,492.725
15,9,451.25
14,9,461.7
13,10,480.8
12,11,1213.45
11,12,478.975
10,13,457.825
9,14,488.6
8,16,472.9
7,18,511.75
6,21,473.45
5,25,511.225
4,31,525
3,42,581.2
2,62,656.025
1,124,632.75
96,2,1275.075
107,2,376.575
