block_batch_size,batch_concurrency,time
60,1,849.9
59,2,960.825
58,2,931.775
57,2,950.3
56,2,932.55
55,2,848.075
54,2,388.55
53,2,323.125
52,2,412.2
51,2,325.8
50,2,318.4
49,2,318.775
48,2,321.975
47,2,323.875
46,2,461.075
45,2,374.7
44,2,319.025
43,2,319.25
42,2,316.725
41,2,392.975
40,2,351.6
39,2,318.95
38,2,317.95
37,2,317.75
36,2,318.7
35,2,344.55
34,2,318.15
33,2,421.1
32,2,316.05
31,2,315.3
30,2,283.1
29,3,389.075
28,3,341.75
27,3,309.725
26,3,272.3
25,3,281.325
24,3,282.725
23,3,278.475
22,3,272.4
21,3,278.375
20,3,274.025
19,4,287.4
18,4,289.475
17,4,295.825
16,4,274
15,4,272.775
14,5,281.15
13,5,280.3
12,5,278.275
11,6,294.575
10,6,280.375
9,7,280.775
8,8,294.925
7,9,283.8
6,10,307.075
5,12,310.825
4,15,314.775
3,20,329.95
2,30,339.875
1,60,330.925
59,2,960.825
26,3,272.3
