block_batch_size,batch_concurrency,time
40,1,283.1
39,2,313.9
38,2,207.675
37,2,229.85
36,2,447.925
35,2,261.325
34,2,272.6
33,2,237.275
32,2,274.1
31,2,224.525
30,2,1305.7
29,2,213.65
28,2,198.625
27,2,182.35
26,2,357.325
25,2,185.05
24,2,205.675
23,2,177.275
22,2,346.5
21,2,154.25
20,2,419.8
19,3,176.275
18,3,174.75
17,3,2081.125
16,3,162.3
15,3,166.425
14,3,150.575
13,4,292.125
12,4,161.675
11,4,166.925
10,4,279.675
9,5,169.425
8,5,338.475
7,6,1353.875
6,7,1689.15
5,8,519.45
4,10,154.825
3,14,480.05
2,20,1316.8
1,40,211.9
17,3,2081.125
14,3,150.575
