tx_batch,tx_concurrency,time
976,1,1790.8
975,2,2471.5
974,2,2891.7
973,2,2424.35
972,2,2938.65
971,2,1694.75
970,2,3060.5
969,2,2152.35
968,2,2949.875
967,2,4052.275
966,2,3954.15
965,2,3291.7
964,2,4495.525
963,2,3162.7
962,2,3883.775
961,2,4339.05
960,2,3556.85
959,2,5005.85
958,2,5199.15
957,2,3626.25
956,2,4047.85
955,2,4572.2
954,2,4723.775
953,2,4510.55
952,2,4892.925
951,2,4002.4
950,2,3793.375
949,2,3979.075
948,2,4528.75
947,2,5077.075
946,2,2334.175
945,2,3006.5
944,2,1529.65
943,2,2156.275
942,2,1348.75
941,2,2577.725
940,2,2060.925
939,2,2267.325
938,2,2347.35
937,2,2218.825
936,2,3219.775
935,2,1616.775
934,2,2865.65
933,2,1420.825
932,2,2578.3
931,2,1442.625
930,2,3179.3
929,2,1511.05
928,2,2005.225
927,2,2253.775
926,2,2094.875
925,2,2155.075
924,2,1655.575
923,2,2724.325
922,2,1791.025
921,2,3361.45
920,2,2551.425
919,2,1950.8
918,2,2211.725
917,2,2197.2
916,2,1672.6
915,2,2728.525
914,2,1908.75
913,2,1467.45
912,2,2532.675
911,2,1707.35
910,2,2983.45
909,2,1257.05
908,2,2431.225
907,2,1459.3
906,2,1578.075
905,2,3495.075
904,2,3625.45
903,2,2653.175
902,2,2380.725
901,2,2816.4
900,2,2739.25
899,2,3033.525
898,2,2123.675
897,2,2570.3
896,2,1960.2
895,2,2908.15
894,2,1582.125
893,2,3209.525
892,2,1972.4
891,2,2908.65
890,2,1802.425
889,2,2941.85
888,2,2363.25
887,2,2810.825
886,2,2519.525
885,2,3498.85
884,2,1467.2
883,2,3010.1
882,2,1860.65
881,2,2679.65
880,2,1579.925
879,2,2823.475
878,2,1939.775
877,2,2440.425
876,2,1785.025
875,2,2296.85
874,2,1166.075
873,2,2661.625
872,2,1768.075
871,2,2724.95
870,2,1470.425
869,2,2277.3
868,2,2463.4
867,2,2227.075
866,2,3007.45
865,2,1474.475
864,2,3109.05
863,2,2096.625
862,2,2916.225
861,2,1486.6
