tx_batch,tx_concurrency,time
29,1,214.4
28,2,201.8
27,2,200.675
26,2,210.9
25,2,201.45
24,2,202.075
23,2,198.8
22,2,210.625
21,2,198.325
20,2,201.425
19,2,203.375
18,2,198.35
17,2,201
16,2,201.175
15,2,209.925
14,3,204.425
13,3,206.85
12,3,193.775
11,3,201.95
10,3,223.825
9,4,200.15
8,4,181.225
7,5,212
6,5,177.775
5,6,218.5
4,8,211.275
3,10,229.9
2,15,225
1,29,430.25
1,29,430.25
6,5,177.775
